"# 单位: 人民币千元 (RMB'000), 来源: 一手年报 PDF"
科目,2020,2021,2022,2023,2024,2025
收益 Revenue,22877297,29696406,33239187,42667221,42895992,52552910
销售成本 Cost of sales,-9368970,-12040188,-14143776,-17260392,-17980277,-20744806
毛利 Gross profit,13508327,17656218,19095411,25406829,24915715,31808104
其他收入及收益 Other income and gains,640941,873562,1709159,1841454,2128940,1719977
销售及分销开支 Selling and distribution expenses,-5510507,-7233070,-7820691,-9283999,-9173297,-9800460
行政开支 Administrative expenses,-1324448,-1750929,-1835125,-2162401,-1962470,-2452127
其他开支 Other expenses,-249097,-138536,-22394,-13946,-29561,-291002
财务费用 Finance costs,-78963,-52945,-76028,-99735,-91469,-66899
除税前溢利 Profit before tax,6986253,9354300,11050332,15688202,15787858,20917593
所得税开支 Income tax expense,-1708827,-2192506,-2555082,-3608704,-3664554,-5049319
年内溢利 Profit for the year,5277426,7161794,8495250,12079498,12123304,15868274
母公司拥有人应占溢利 Attributable to parent,5277426,7161794,8495250,12079498,12123304,15868274
每股基本及摊薄盈利(元) Basic and diluted EPS,0.4800,0.6400,0.7600,1.070,1.078,1.411
其他全面(亏损)收益-汇兑差额 OCI Exchange diff,-1302,-543,1835,-340,409,-50
年内全面收益总额 Total comprehensive income,5276124,7161251,8497085,12079158,12123713,15868224
